record_kind,source_url,page_title,page_heading,years,family_code,family_description,model_type,detail_page_url,detail_page_title,production_dates,production_code,production_code_url,model,chassis,engine,power,drivetrain,steering,region,description,production,scraped_at
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1955 - 1962,100,Isetta,Serie,https://www.bimmerarchive.org/e-code/100.html,Isetta,,,,,,,,,,,,,2026-05-28T22:00:03.428650+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1955 - 1962,101,Isetta 250,Serie,https://www.bimmerarchive.org/e-code/101.html,Isetta 250,,,,,,,,,,,,,2026-05-28T22:00:03.428915+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1955 - 1962,102,Isetta 300,Serie,https://www.bimmerarchive.org/e-code/102.html,Isetta 300,,,,,,,,,,,,,2026-05-28T22:00:03.429180+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1955 - 1962,103,Isetta CKD/SKD,Serie,https://www.bimmerarchive.org/e-code/103.html,Isetta CKD/SKD,,,,,,,,,,,,,2026-05-28T22:00:03.429446+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1959 - 1965,107,700 Sedan,Serie,https://www.bimmerarchive.org/e-code/107.html,700 Sedan,,,,,,,,,,,,,2026-05-28T22:00:03.429713+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1962 - 1965,3200 CS,BMW 3200 CS,Serie,https://www.bimmerarchive.org/e-code/3200-cs.html,BMW 3200 CS,,,,,,,,,,,,,2026-05-28T22:00:03.428344+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1975 - 1982,E21,BMW 3 Series,Serie,https://www.bimmerarchive.org/e-code/e21.html,BMW 3 Series,,,,,,,,,,,,,2026-05-28T22:00:03.429976+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1977 - 1979,E23,BMW 7 Series Sedan,Serie,https://www.bimmerarchive.org/e-code/e23.html,BMW 7 Series Sedan,,,,,,,,,,,,,2026-05-28T22:00:03.430238+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1976 - 1982,E24,BMW 6 Series Coupe,Serie,https://www.bimmerarchive.org/e-code/e24.html,BMW 6 Series Coupe,,,,,,,,,,,,,2026-05-28T22:00:03.430506+00:00
family,https://www.bimmerarchive.org/e-code,Model Archive for BMW models · List of E-Codes · bmwarchive.org,,1981 - 1987,E28,BMW 5 Series Sedan,Serie,https://www.bimmerarchive.org/e-code/e28.html,BMW 5 Series Sedan,,,,,,,,,,,,,2026-05-28T22:00:03.430776+00:00
